Customer Name,Company Type,Complaint Category,Query,Date
Customer 99,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,4/30/2024
Customer 100,Bank,Operational Issue,Can you explain why the system was down for hours?,11/18/2023
Customer 101,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,8/7/2024
Customer 102,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,2/25/2024
Customer 103,Hospital,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,8/29/2024
Customer 104,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,11/4/2023
Customer 105,Hospital,Feedback,Why wasn't my feedback on the service acknowledged?,10/2/2024
Customer 106,Hotel,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",8/24/2024
Customer 107,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,4/6/2024
Customer 108,Hotel,Operational Issue,Can you explain why the system was down for hours?,12/4/2023
Customer 109,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,4/6/2024
Customer 110,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,11/27/2023
Customer 111,Hospital,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,10/13/2023
Customer 112,Hotel,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,10/15/2023
Customer 113,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,11/2/2023
Customer 114,Hotel,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",1/22/2024
Customer 115,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,3/24/2024
Customer 116,Hospital,Feedback,Why wasn't my feedback on the service acknowledged?,7/31/2024
Customer 117,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,1/29/2024
Customer 118,Hospital,Customer Service,How long do I need to wait for someone to respond to my service request?,10/21/2023
Customer 119,Bank,Operational Issue,Can you explain why the system was down for hours?,12/17/2023
Customer 120,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,2/12/2024
Customer 121,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,8/8/2024
Customer 122,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,10/6/2023
Customer 123,Hospital,Operational Issue,Can you explain why the system was down for hours?,6/6/2024
Customer 124,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,5/25/2024
Customer 125,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,7/1/2024
Customer 126,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,9/28/2024
Customer 127,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,3/6/2024
Customer 128,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,4/30/2024
Customer 129,Hospital,Operational Issue,Why is there always an issue with your online services?,2/3/2024
Customer 130,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,11/11/2023
Customer 131,Hospital,Price and Value,Why are the prices so high for such basic services?,6/15/2024
Customer 132,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,1/12/2024
Customer 133,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,3/21/2024
Customer 134,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,2/2/2024
Customer 135,Bank,Feedback,Can you explain why my experience was so different from what was advertised?,5/30/2024
Customer 136,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,12/3/2023
Customer 137,Bank,Customer Service,Why is the customer service so slow and unresponsive?,8/12/2024
Customer 138,Bank,Price and Value,Can you explain the hidden fees added to my bill?,1/14/2024
Customer 139,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,1/7/2024
Customer 140,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,10/24/2023
Customer 141,Bank,Operational Issue,Can you explain why the system was down for hours?,8/29/2024
Customer 142,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,6/5/2024
Customer 143,Hotel,Customer Service,Why is the customer service so slow and unresponsive?,7/26/2024
Customer 144,Bank,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,3/6/2024
Customer 145,Bank,Price and Value,Why are the prices so high for such basic services?,2/15/2024
Customer 146,Hotel,Price and Value,Why are the prices so high for such basic services?,8/21/2024
Customer 147,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,11/26/2023
Customer 148,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,6/17/2024
Customer 149,Bank,Operational Issue,Why is there always an issue with your online services?,7/20/2024
Customer 150,Bank,Operational Issue,Can you explain why the system was down for hours?,3/2/2024
Customer 151,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,2/19/2024
Customer 152,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,1/27/2024
Customer 153,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,1/4/2024
Customer 154,Hospital,Operational Issue,Can you explain why the system was down for hours?,10/30/2023
Customer 155,Hotel,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,8/21/2024
Customer 156,Hospital,Feedback,Can you explain why my experience was so different from what was advertised?,1/26/2024
Customer 157,Hotel,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,1/4/2024
Customer 158,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,7/19/2024
Customer 159,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,9/12/2024
Customer 160,Bank,Price and Value,Can you explain the hidden fees added to my bill?,7/27/2024
Customer 161,Hotel,Operational Issue,Why is there always an issue with your online services?,3/16/2024
Customer 162,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,5/13/2024
Customer 163,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,9/8/2024
Customer 164,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,10/16/2023
Customer 165,Bank,Price and Value,Can you explain the hidden fees added to my bill?,1/19/2024
Customer 166,Hotel,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,7/5/2024
Customer 167,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,8/23/2024
Customer 168,Hotel,Price and Value,Can you explain the hidden fees added to my bill?,9/12/2024
Customer 169,Hospital,Feedback,Why wasn't my feedback on the service acknowledged?,10/10/2023
Customer 170,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,1/17/2024
Customer 171,Bank,Price and Value,Can you explain the hidden fees added to my bill?,3/25/2024
Customer 172,Bank,Customer Service,Why is the customer service so slow and unresponsive?,6/22/2024
Customer 173,Bank,Bribery,Why do I need to pay extra for services that should be standard?,5/9/2024
Customer 174,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,8/22/2024
Customer 175,Bank,Customer Service,Why is the customer service so slow and unresponsive?,8/8/2024
Customer 176,Hotel,Operational Issue,Can you explain why the system was down for hours?,5/4/2024
Customer 177,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,7/7/2024
Customer 178,Bank,Feedback,Can you explain why my experience was so different from what was advertised?,5/27/2024
Customer 179,Hospital,Feedback,Why wasn't my feedback on the service acknowledged?,1/13/2024
Customer 180,Hotel,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",4/30/2024
Customer 181,Bank,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,5/9/2024
Customer 182,Hospital,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,5/2/2024
Customer 183,Hotel,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,11/2/2023
Customer 184,Hospital,Operational Issue,Why is there always an issue with your online services?,3/1/2024
Customer 185,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,10/29/2023
Customer 186,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,10/27/2023
Customer 187,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,4/9/2024
Customer 188,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,4/28/2024
Customer 189,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,9/26/2024
Customer 190,Hotel,Operational Issue,Why is there always an issue with your online services?,9/1/2024
Customer 191,Hotel,Operational Issue,Can you explain why the system was down for hours?,8/19/2024
Customer 192,Bank,Feedback,Can you explain why my experience was so different from what was advertised?,4/3/2024
Customer 193,Bank,Fraud and Scam,Why did I find unauthorized charges on my account?,3/6/2024
Customer 194,Bank,Price and Value,Why was I billed more than what I had agreed upon?,2/4/2024
Customer 195,Hotel,Operational Issue,Can you explain why the system was down for hours?,4/14/2024
Customer 196,Hospital,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,6/17/2024
Customer 197,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,4/23/2024
Customer 198,Hospital,Operational Issue,Can you explain why the system was down for hours?,10/15/2023
Customer 199,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,7/31/2024
Customer 200,Bank,Price and Value,Can you explain the hidden fees added to my bill?,10/12/2023
Customer 201,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,1/8/2024
Customer 202,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,1/29/2024
Customer 203,Hospital,Price and Value,Why are the prices so high for such basic services?,7/8/2024
Customer 204,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,11/14/2023
Customer 205,Bank,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,12/19/2023
Customer 206,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,1/3/2024
Customer 207,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,11/9/2023
Customer 208,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,8/15/2024
Customer 209,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,3/27/2024
Customer 210,Hotel,Customer Service,Why is the customer service so slow and unresponsive?,3/15/2024
Customer 211,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,8/24/2024
Customer 212,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,12/22/2023
Customer 213,Hospital,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,7/15/2024
Customer 214,Hotel,Price and Value,Why was I billed more than what I had agreed upon?,1/19/2024
Customer 215,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,12/26/2023
Customer 216,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,12/14/2023
Customer 217,Bank,Price and Value,Why are the prices so high for such basic services?,7/31/2024
Customer 218,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,5/31/2024
Customer 219,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,4/8/2024
Customer 220,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,2/17/2024
Customer 221,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,1/3/2024
Customer 222,Bank,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,12/3/2023
Customer 223,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,8/12/2024
Customer 224,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,11/11/2023
Customer 225,Hospital,Operational Issue,Why is there always an issue with your online services?,4/14/2024
Customer 226,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,10/1/2024
Customer 227,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,3/7/2024
Customer 228,Hotel,Operational Issue,Why is there always an issue with your online services?,10/10/2023
Customer 229,Hospital,Bribery,Why do I need to pay extra for services that should be standard?,8/22/2024
Customer 230,Hotel,Price and Value,Why was I billed more than what I had agreed upon?,2/8/2024
Customer 231,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,10/6/2023
Customer 232,Hotel,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",10/22/2023
Customer 233,Hospital,Operational Issue,Why is there always an issue with your online services?,2/14/2024
Customer 234,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,1/10/2024
Customer 235,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,4/28/2024
Customer 236,Hospital,Feedback,How do you plan to improve based on customer feedback like mine?,11/11/2023
Customer 237,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,8/23/2024
Customer 238,Hospital,Operational Issue,Can you explain why the system was down for hours?,5/16/2024
Customer 239,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,11/29/2023
Customer 240,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,8/2/2024
Customer 241,Hospital,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,12/29/2023
Customer 242,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,6/2/2024
Customer 243,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,7/3/2024
Customer 244,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,8/18/2024
Customer 245,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,4/12/2024
Customer 246,Hospital,Bribery,Why do I need to pay extra for services that should be standard?,3/14/2024
Customer 247,Bank,Bribery,Why do I need to pay extra for services that should be standard?,1/25/2024
Customer 248,Bank,Customer Service,Why is the customer service so slow and unresponsive?,1/4/2024
Customer 249,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,4/16/2024
Customer 250,Hotel,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,1/20/2024
Customer 251,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,9/5/2024
Customer 252,Hospital,Operational Issue,Can you explain why the system was down for hours?,9/21/2024
Customer 253,Bank,Fraud and Scam,Why did a suspicious transaction go through without any security verification?,8/20/2024
Customer 254,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,11/3/2023
Customer 255,Bank,Operational Issue,Why is there always an issue with your online services?,2/2/2024
Customer 256,Hospital,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,10/12/2023
Customer 257,Hotel,Operational Issue,Can you explain why the system was down for hours?,9/6/2024
Customer 258,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,11/16/2023
Customer 259,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,9/2/2024
Customer 260,Hospital,Feedback,Why wasn't my feedback on the service acknowledged?,10/20/2023
Customer 261,Bank,Bribery,Why do I need to pay extra for services that should be standard?,3/28/2024
Customer 262,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,1/25/2024
Customer 263,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,7/10/2024
Customer 264,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,5/27/2024
Customer 265,Bank,Bribery,Why do I need to pay extra for services that should be standard?,9/27/2024
Customer 266,Bank,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",11/23/2023
Customer 267,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,9/30/2024
Customer 268,Hospital,Price and Value,Why was I billed more than what I had agreed upon?,2/13/2024
Customer 269,Bank,Feedback,Why wasn't my feedback on the service acknowledged?,7/17/2024
Customer 270,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,9/10/2024
Customer 271,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,8/24/2024
Customer 272,Bank,Feedback,How do you plan to improve based on customer feedback like mine?,3/15/2024
Customer 273,Hospital,Customer Service,Why is the customer service so slow and unresponsive?,6/21/2024
Customer 274,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,4/9/2024
Customer 275,Hospital,Price and Value,Why are the prices so high for such basic services?,7/28/2024
Customer 276,Hospital,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,11/18/2023
Customer 277,Hotel,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,5/27/2024
Customer 278,Bank,Price and Value,Why are the prices so high for such basic services?,5/24/2024
Customer 279,Hospital,Bribery,Why do I need to pay extra for services that should be standard?,6/10/2024
Customer 280,Hotel,Price and Value,Why was I billed more than what I had agreed upon?,12/24/2023
Customer 281,Hotel,Price and Value,Can you explain the hidden fees added to my bill?,8/29/2024
Customer 282,Bank,Price and Value,Why was I billed more than what I had agreed upon?,12/30/2023
Customer 283,Hospital,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,8/25/2024
Customer 284,Hotel,Price and Value,Why are the prices so high for such basic services?,3/5/2024
Customer 285,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,1/18/2024
Customer 286,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,3/19/2024
Customer 287,Hospital,Customer Service,How long do I need to wait for someone to respond to my service request?,5/2/2024
Customer 288,Hotel,Operational Issue,Why is there always an issue with your online services?,9/2/2024
Customer 289,Bank,Customer Service,Why does it take forever to resolve even the simplest issues?,4/28/2024
Customer 290,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,2/2/2024
Customer 291,Hospital,Feedback,How do you plan to improve based on customer feedback like mine?,2/12/2024
Customer 292,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,7/3/2024
Customer 293,Hospital,Fraud and Scam,Why did I find unauthorized charges on my account?,12/28/2023
Customer 294,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,6/7/2024
Customer 295,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,2/29/2024
Customer 296,Hotel,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,6/22/2024
Customer 297,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,1/3/2024
Customer 298,Hotel,Feedback,How do you plan to improve based on customer feedback like mine?,1/5/2024
Customer 299,Bank,Bribery,Is it normal to be asked for additional payment by the staff for quicker services?,2/18/2024
Customer 300,Hotel,Fraud and Scam,Why did I find unauthorized charges on my account?,2/18/2024
Customer 301,Hotel,Feedback,Can you explain why my experience was so different from what was advertised?,6/25/2024
Customer 302,Hotel,Bribery,Why was I informed that I could get priority if I paid an unofficial fee?,6/28/2024
Customer 303,Hospital,Price and Value,Can you explain the hidden fees added to my bill?,5/5/2024
Customer 304,Bank,Operational Issue,Can you explain why the system was down for hours?,1/1/2024
Customer 305,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,1/15/2024
Customer 306,Bank,Price and Value,Why are the prices so high for such basic services?,6/5/2024
Customer 307,Hotel,Customer Service,How long do I need to wait for someone to respond to my service request?,12/30/2023
Customer 308,Hotel,Bribery,Why do I need to pay extra for services that should be standard?,3/7/2024
Customer 309,Bank,Fraud and Scam,Can you explain why my credit card was charged twice for a single transaction?,9/9/2024
Customer 310,Bank,Customer Service,How long do I need to wait for someone to respond to my service request?,1/15/2024
Customer 311,Bank,Operational Issue,"Why are your facilities not maintained properly, causing so many inconveniences?",10/20/2023
Customer 312,Hospital,Operational Issue,Can you explain why the system was down for hours?,4/8/2024
Customer 313,Bank,Operational Issue,Can you explain why the system was down for hours?,9/6/2024
Customer 314,Bank,Price and Value,Can you explain the hidden fees added to my bill?,1/22/2024
Customer 315,Hospital,Operational Issue,Can you explain why the system was down for hours?,12/21/2023
Customer 316,Hotel,Customer Service,Why does it take forever to resolve even the simplest issues?,4/7/2024
Customer 317,Hospital,Price and Value,Why are the prices so high for such basic services?,11/18/2023
Customer 318,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,3/15/2024
Customer 319,Bank,Price and Value,Can you explain the hidden fees added to my bill?,2/15/2024
Customer 320,Hospital,Customer Service,Why does it take forever to resolve even the simplest issues?,8/25/2024
Customer 321,Hotel,Feedback,Why wasn't my feedback on the service acknowledged?,7/14/2024
